model: 5, best: 5, AStype: 2, top: 5, p= 0.987544, second: 0, p= 0.00716913, third: 4, p= 0.0051834
model: 5, best: 5, AStype: 2, top: 5, p= 0.94672, second: 4, p= 0.0525739, third: 9, p= 0.000513547
model: 5, best: 5, AStype: 2, top: 5, p= 0.999797, second: 4, p= 0.00013147, third: 0, p= 6.26869e-05
model: 5, best: 5, AStype: 2, top: 5, p= 0.985524, second: 0, p= 0.0141062, third: 9, p= 0.000278552
model: 5, best: 5, AStype: 2, top: 5, p= 0.998946, second: 4, p= 0.00091636, third: 9, p= 9.66998e-05
model: 5, best: 5, AStype: 2, top: 5, p= 0.99655, second: 8, p= 0.00247742, third: 9, p= 0.000433746
model: 5, best: 5, AStype: 2, top: 5, p= 0.988747, second: 0, p= 0.0108935, third: 9, p= 0.000174218
model: 5, best: 5, AStype: 2, top: 5, p= 0.999029, second: 9, p= 0.000432243, third: 4, p= 0.000358061
model: 5, best: 8, AStype: 2, top: 8, p= 0.649172, second: 5, p= 0.350789, third: 2, p= 2.00373e-05 ****ERROR****
model: 5, best: 5, AStype: 3, top: 5, p= 0.994232, second: 9, p= 0.00282453, third: 8, p= 0.001401
model: 5, best: 5, AStype: 3, top: 5, p= 0.991264, second: 8, p= 0.00803068, third: 0, p= 0.000432343
model: 5, best: 5, AStype: 3, top: 5, p= 0.997827, second: 8, p= 0.00073186, third: 9, p= 0.000507315
model: 5, best: 5, AStype: 3, top: 5, p= 0.979153, second: 8, p= 0.0127333, third: 9, p= 0.00652488
model: 5, best: 5, AStype: 3, top: 5, p= 0.833894, second: 8, p= 0.140279, third: 9, p= 0.0252522
model: 5, best: 5, AStype: 3, top: 5, p= 0.982807, second: 8, p= 0.0149754, third: 2, p= 0.00134847
model: 5, best: 5, AStype: 3, top: 5, p= 0.991695, second: 8, p= 0.00451422, third: 9, p= 0.00256939
model: 5, best: 5, AStype: 3, top: 5, p= 0.973555, second: 8, p= 0.014957, third: 2, p= 0.00756771
model: 5, best: 5, AStype: 3, top: 5, p= 0.997648, second: 9, p= 0.00134129, third: 0, p= 0.000511324
model: 5, best: 5, AStype: 3, top: 5, p= 0.99877, second: 9, p= 0.000608045, third: 2, p= 0.000334805
model: 6, best: 6, AStype: 1, top: 6, p= 0.880491, second: 2, p= 0.119096, third: 9, p= 0.000207563
model: 6, best: 6, AStype: 1, top: 6, p= 0.601626, second: 2, p= 0.397483, third: 1, p= 0.000695766
model: 6, best: 6, AStype: 1, top: 6, p= 0.945777, second: 2, p= 0.0542035, third: 8, p= 7.93014e-06
model: 6, best: 6, AStype: 1, top: 6, p= 0.781271, second: 2, p= 0.218517, third: 1, p= 0.000136386
model: 6, best: 6, AStype: 1, top: 6, p= 0.928418, second: 2, p= 0.0715587, third: 8, p= 1.98659e-05
model: 6, best: 6, AStype: 1, top: 6, p= 0.893407, second: 2, p= 0.1065, third: 9, p= 6.40798e-05
model: 6, best: 6, AStype: 1, top: 6, p= 0.943595, second: 2, p= 0.0561581, third: 4, p= 0.000157125
model: 6, best: 6, AStype: 1, top: 6, p= 0.768301, second: 2, p= 0.23162, third: 9, p= 6.36131e-05
model: 6, best: 6, AStype: 1, top: 6, p= 0.823605, second: 2, p= 0.176146, third: 1, p= 0.000169189
model: 6, best: 6, AStype: 1, top: 6, p= 0.957026, second: 2, p= 0.0427874, third: 5, p= 0.000118964
model: 6, best: 6, AStype: 2, top: 6, p= 0.999112, second: 2, p= 0.000880349, third: 4, p= 3.74783e-06
model: 6, best: 6, AStype: 2, top: 6, p= 0.997828, second: 2, p= 0.00194597, third: 8, p= 0.000221285
model: 6, best: 6, AStype: 2, top: 6, p= 0.995533, second: 2, p= 0.00417276, third: 4, p= 0.000282526
model: 6, best: 6, AStype: 2, top: 6, p= 0.995911, second: 2, p= 0.00405639, third: 9, p= 2.92933e-05
model: 6, best: 6, AStype: 2, top: 6, p= 0.97198, second: 2, p= 0.0280109, third: 8, p= 8.41787e-06
model: 6, best: 6, AStype: 2, top: 6, p= 0.993209, second: 2, p= 0.00678673, third: 9, p= 2.28122e-06
model: 6, best: 6, AStype: 2, top: 6, p= 0.99597, second: 2, p= 0.00396058, third: 8, p= 5.55248e-05
model: 6, best: 6, AStype: 2, top: 6, p= 0.953228, second: 2, p= 0.0464032, third: 9, p= 0.000153087
model: 6, best: 6, AStype: 2, top: 6, p= 0.966108, second: 2, p= 0.0337513, third: 9, p= 7.10361e-05
model: 6, best: 6, AStype: 2, top: 6, p= 0.97335, second: 2, p= 0.0265634, third: 5, p= 7.58506e-05
model: 6, best: 6, AStype: 3, top: 6, p= 0.999295, second: 2, p= 0.000520032, third: 8, p= 0.000179269
model: 6, best: 6, AStype: 3, top: 6, p= 0.997659, second: 2, p= 0.00226251, third: 8, p= 5.45551e-05
model: 6, best: 6, AStype: 3, top: 6, p= 0.99527, second: 2, p= 0.00462607, third: 8, p= 8.40306e-05
model: 6, best: 6, AStype: 3, top: 6, p= 0.985588, second: 2, p= 0.0142899, third: 8, p= 0.000112032
model: 6, best: 6, AStype: 3, top: 6, p= 0.98441, second: 2, p= 0.0153582, third: 8, p= 0.00019688
model: 6, best: 6, AStype: 3, top: 6, p= 0.997598, second: 2, p= 0.00240078, third: 8, p= 4.76738e-07
model: 6, best: 6, AStype: 3, top: 6, p= 0.984589, second: 2, p= 0.0152699, third: 8, p= 0.000103308
model: 6, best: 6, AStype: 3, top: 6, p= 0.993446, second: 2, p= 0.00654999, third: 0, p= 3.53515e-06
model: 6, best: 6, AStype: 3, top: 6, p= 0.99786, second: 2, p= 0.00213579, third: 0, p= 2.23624e-06
model: 6, best: 6, AStype: 3, top: 6, p= 0.998711, second: 2, p= 0.00128752, third: 8, p= 6.45542e-07
model: 7, best: 7, AStype: 1, top: 7, p= 0.999994, second: 5, p= 5.09352e-06, third: 9, p= 3.89963e-07
model: 7, best: 7, AStype: 1, top: 7, p= 0.999976, second: 5, p= 7.93589e-06, third: 2, p= 7.83158e-06
model: 7, best: 7, AStype: 1, top: 7, p= 0.999999, second: 5, p= 9.82429e-07, third: 9, p= 2.63952e-07
model: 7, best: 7, AStype: 1, top: 7, p= 0.999975, second: 5, p= 2.02519e-05, third: 9, p= 4.28933e-06
model: 7, best: 7, AStype: 1, top: 7, p= 0.999847, second: 1, p= 0.000138274, third: 3, p= 8.48467e-06
model: 7, best: 7, AStype: 1, top: 7, p= 0.999959, second: 0, p= 1.2577e-05, third: 5, p= 1.13502e-05
model: 7, best: 7, AStype: 1, top: 7, p= 0.999984, second: 2, p= 7.06645e-06, third: 5, p= 2.71996e-06
model: 7, best: 7, AStype: 1, top: 7, p= 1.0, second: 0, p= 5.46138e-08, third: 9, p= 4.81647e-08
model: 7, best: 7, AStype: 1, top: 7, p= 0.999897, second: 0, p= 9.75471e-05, third: 2, p= 3.4862e-06
model: 7, best: 7, AStype: 1, top: 7, p= 0.999997, second: 0, p= 8.86021e-07, third: 9, p= 6.62968e-07
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 9, p= 3.23746e-08, third: 5, p= 1.04985e-09
model: 7, best: 7, AStype: 2, top: 7, p= 0.999999, second: 5, p= 1.11421e-06, third: 9, p= 3.48092e-08
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 9, p= 8.81606e-09, third: 5, p= 1.77e-09
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 5, p= 1.65051e-08, third: 9, p= 1.86105e-10
