model: 8, best: 8, AStype: 1, top: 8, p= 0.44355, second: 0, p= 0.21136, third: 2, p= 0.108806
model: 8, best: 9, AStype: 1, top: 9, p= 0.214933, second: 8, p= 0.207996, third: 0, p= 0.189963
model: 8, best: 8, AStype: 1, top: 8, p= 0.451639, second: 3, p= 0.297339, third: 0, p= 0.18141
model: 8, best: 8, AStype: 1, top: 8, p= 0.728804, second: 6, p= 0.108099, third: 9, p= 0.0854459
model: 8, best: 8, AStype: 1, top: 8, p= 0.322471, second: 0, p= 0.268082, third: 6, p= 0.12471
model: 8, best: 8, AStype: 1, top: 8, p= 0.219729, second: 9, p= 0.18605, third: 3, p= 0.165296
model: 8, best: 8, AStype: 2, top: 8, p= 0.487586, second: 0, p= 0.338273, third: 3, p= 0.157405
model: 8, best: 8, AStype: 2, top: 8, p= 0.707975, second: 0, p= 0.128075, third: 2, p= 0.0768615
model: 8, best: 1, AStype: 2, top: 1, p= 0.467497, second: 8, p= 0.440674, third: 9, p= 0.0892518
model: 8, best: 8, AStype: 2, top: 8, p= 0.371618, second: 0, p= 0.300635, third: 3, p= 0.221763
model: 8, best: 8, AStype: 2, top: 8, p= 0.429233, second: 3, p= 0.353247, third: 0, p= 0.18012
model: 8, best: 8, AStype: 2, top: 8, p= 0.466224, second: 0, p= 0.412518, third: 9, p= 0.101818
model: 8, best: 8, AStype: 2, top: 8, p= 0.548769, second: 6, p= 0.152683, third: 1, p= 0.111146
model: 8, best: 8, AStype: 2, top: 8, p= 0.465055, second: 0, p= 0.267702, third: 3, p= 0.219814
model: 8, best: 8, AStype: 2, top: 8, p= 0.613396, second: 9, p= 0.125109, third: 2, p= 0.124274
model: 8, best: 8, AStype: 3, top: 8, p= 0.411416, second: 0, p= 0.278742, third: 3, p= 0.259086
model: 8, best: 8, AStype: 3, top: 8, p= 0.771436, second: 9, p= 0.136278, third: 5, p= 0.0758765
model: 8, best: 8, AStype: 3, top: 8, p= 0.355907, second: 0, p= 0.21369, third: 3, p= 0.163212
model: 8, best: 8, AStype: 3, top: 8, p= 0.707787, second: 9, p= 0.137709, third: 5, p= 0.0872467
model: 8, best: 8, AStype: 3, top: 8, p= 0.557554, second: 5, p= 0.139504, third: 0, p= 0.123773
model: 8, best: 8, AStype: 3, top: 8, p= 0.578474, second: 0, p= 0.151785, third: 5, p= 0.0945252
model: 8, best: 8, AStype: 3, top: 8, p= 0.553081, second: 2, p= 0.132853, third: 0, p= 0.110345
model: 8, best: 8, AStype: 3, top: 8, p= 0.552403, second: 5, p= 0.130665, third: 0, p= 0.125441
model: 8, best: 8, AStype: 3, top: 8, p= 0.867775, second: 5, p= 0.0494911, third: 3, p= 0.0235033
model: 9, best: 9, AStype: 1, top: 9, p= 0.304051, second: 0, p= 0.188277, third: 3, p= 0.120649
model: 9, best: 9, AStype: 1, top: 9, p= 0.510711, second: 6, p= 0.15905, third: 1, p= 0.093474
model: 9, best: 9, AStype: 1, top: 9, p= 0.254889, second: 8, p= 0.248468, third: 7, p= 0.150306
