model: 5, best: 5, AStype: 3, top: 5, p= 1.0, second: 8, p= 2.66781e-22, third: 9, p= 4.47408e-48
model: 5, best: 5, AStype: 3, top: 5, p= 1.0, second: 0, p= 1.35205e-31, third: 8, p= 1.63965e-38
model: 6, best: 6, AStype: 1, top: 6, p= 1.0, second: 2, p= 2.19739e-08, third: 1, p= 9.17578e-68
model: 6, best: 6, AStype: 1, top: 6, p= 1.0, second: 2, p= 2.07534e-24, third: 9, p= 1.70174e-71
model: 6, best: 6, AStype: 1, top: 6, p= 1.0, second: 2, p= 1.87477e-17, third: 9, p= 3.89364e-46
model: 6, best: 6, AStype: 1, top: 6, p= 1.0, second: 2, p= 1.87481e-15, third: 0, p= 5.1744e-25
model: 6, best: 6, AStype: 1, top: 6, p= 1.0, second: 2, p= 6.30997e-19, third: 9, p= 1.45427e-51
model: 6, best: 6, AStype: 1, top: 6, p= 1.0, second: 2, p= 4.12901e-17, third: 0, p= 4.68172e-44
model: 6, best: 6, AStype: 1, top: 6, p= 0.999957, second: 2, p= 4.32018e-05, third: 9, p= 1.65234e-40
model: 6, best: 6, AStype: 1, top: 6, p= 1.0, second: 2, p= 7.00875e-09, third: 5, p= 3.99595e-36
model: 6, best: 6, AStype: 1, top: 6, p= 1.0, second: 2, p= 3.78555e-28, third: 8, p= 2.68093e-32
model: 6, best: 6, AStype: 2, top: 6, p= 1.0, second: 2, p= 3.78474e-25, third: 0, p= 2.18983e-52
model: 6, best: 6, AStype: 2, top: 6, p= 1.0, second: 2, p= 4.50344e-34, third: 8, p= 1.27812e-50
model: 6, best: 6, AStype: 2, top: 6, p= 1.0, second: 2, p= 3.72334e-31, third: 8, p= 4.31175e-47
model: 6, best: 6, AStype: 2, top: 6, p= 1.0, second: 2, p= 6.62974e-27, third: 8, p= 4.5842e-49
model: 6, best: 6, AStype: 2, top: 6, p= 1.0, second: 2, p= 1.15543e-24, third: 9, p= 2.22432e-63
model: 6, best: 6, AStype: 2, top: 6, p= 1.0, second: 2, p= 3.17588e-39, third: 8, p= 1.30598e-44
model: 6, best: 6, AStype: 2, top: 6, p= 1.0, second: 2, p= 8.44129e-21, third: 8, p= 1.55674e-37
model: 6, best: 6, AStype: 2, top: 6, p= 1.0, second: 2, p= 1.33685e-26, third: 9, p= 1.17018e-61
model: 6, best: 6, AStype: 2, top: 6, p= 1.0, second: 2, p= 5.05921e-52, third: 4, p= 6.09449e-62
model: 6, best: 6, AStype: 3, top: 6, p= 1.0, second: 2, p= 1.08847e-39, third: 8, p= 2.02659e-43
model: 6, best: 6, AStype: 3, top: 6, p= 1.0, second: 2, p= 1.89849e-42, third: 8, p= 4.23095e-80
model: 6, best: 6, AStype: 3, top: 6, p= 1.0, second: 2, p= 7.35703e-46, third: 8, p= 4.90931e-56
model: 6, best: 6, AStype: 3, top: 6, p= 1.0, second: 2, p= 1.1116e-41, third: 8, p= 8.62024e-72
model: 6, best: 6, AStype: 3, top: 6, p= 1.0, second: 2, p= 3.69498e-38, third: 8, p= 4.25316e-46
model: 6, best: 6, AStype: 3, top: 6, p= 1.0, second: 2, p= 6.63386e-49, third: 8, p= 5.43062e-69
model: 6, best: 6, AStype: 3, top: 6, p= 1.0, second: 2, p= 2.05725e-39, third: 5, p= 2.27575e-58
model: 6, best: 6, AStype: 3, top: 6, p= 1.0, second: 2, p= 1.97216e-36, third: 0, p= 5.0007e-67
model: 6, best: 6, AStype: 3, top: 6, p= 1.0, second: 2, p= 3.10608e-37, third: 8, p= 8.66342e-71
model: 7, best: 7, AStype: 1, top: 7, p= 1.0, second: 5, p= 5.95639e-50, third: 2, p= 1.88739e-56
model: 7, best: 7, AStype: 1, top: 7, p= 1.0, second: 0, p= 2.42031e-68, third: 5, p= 3.82567e-69
model: 7, best: 7, AStype: 1, top: 7, p= 1.0, second: 5, p= 6.38103e-46, third: 9, p= 1.86891e-69
model: 7, best: 7, AStype: 1, top: 7, p= 1.0, second: 0, p= 7.40276e-58, third: 8, p= 3.60613e-59
model: 7, best: 7, AStype: 1, top: 7, p= 1.0, second: 5, p= 4.39115e-52, third: 9, p= 1.85005e-70
model: 7, best: 7, AStype: 1, top: 7, p= 1.0, second: 5, p= 9.34656e-67, third: 0, p= 4.4521e-67
model: 7, best: 7, AStype: 1, top: 7, p= 1.0, second: 9, p= 3.76431e-66, third: 5, p= 1.187e-69
model: 7, best: 7, AStype: 1, top: 7, p= 1.0, second: 5, p= 1.08242e-50, third: 0, p= 6.11647e-66
model: 7, best: 7, AStype: 1, top: 7, p= 1.0, second: 9, p= 2.33098e-75, third: 0, p= 3.20829e-79
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 9, p= 8.62432e-65, third: 5, p= 1.72372e-87
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 9, p= 1.39658e-59, third: 5, p= 7.16124e-68
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 5, p= 5.16258e-63, third: 0, p= 7.19548e-65
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 9, p= 7.4195e-76, third: 0, p= 2.11393e-78
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 1, p= 1.91688e-66, third: 5, p= 3.30653e-67
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 9, p= 6.74684e-52, third: 8, p= 6.40766e-67
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 0, p= 2.20772e-66, third: 8, p= 1.66346e-67
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 0, p= 1.08483e-68, third: 5, p= 2.68243e-97
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 5, p= 1.00243e-50, third: 2, p= 9.40529e-57
model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 5, p= 4.2485e-81, third: 2, p= 1.49972e-110
model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 5, p= 4.20605e-70, third: 9, p= 1.92512e-100
model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 5, p= 1.83159e-116, third: 9, p= 1.51279e-116
